  Upd     Win   Draw   Loss    π-loss   V-loss       H    Buf      s
   77   90.0%   0.0%  10.0%   -0.0635   0.3345  2.9582   7726    1.9
   78   90.0%   0.0%  10.0%   -0.0633   0.3466  2.9446   7511    1.6
   79   75.0%   0.0%  25.0%   -0.0633   0.3643  2.9366   7540    1.6
   80   89.0%   0.5%  10.5%   -0.0628   0.3776  2.9208   7353    1.8
   81   85.0%   0.0%  15.0%   -0.0624   0.3429  2.8883   7626    1.7
   82   95.0%   0.0%   5.0%   -0.0629   0.3430  2.8800   7767    1.6
   83   85.0%   0.0%  15.0%   -0.0673   0.3519  2.8769   7465    1.9
   84   90.0%   0.0%  10.0%   -0.0631   0.3505  2.8503   8362    1.9
   85   95.0%   0.0%   5.0%   -0.0648   0.3481  2.8461   7355    1.6
   86   85.0%   0.0%  15.0%   -0.0666   0.3607  2.8398   7333    1.6
   87   95.0%   0.0%   5.0%   -0.0610   0.3652  2.8013   7696    1.8
   88   95.0%   0.0%   5.0%   -0.0639   0.3541  2.8009   7786    1.6
   89   85.0%   0.0%  15.0%   -0.0650   0.3648  2.7915   7715    1.6
   90   88.0%   0.5%  11.5%   -0.0633   0.3436  2.7672   7623    1.9
   91   85.0%   0.0%  15.0%   -0.0618   0.3596  2.7583   7990    1.6
   92   95.0%   0.0%   5.0%   -0.0583   0.3662  2.7631   7950    1.6
   93   65.0%   0.0%  35.0%   -0.0657   0.3600  2.7385   7694    1.6
   94   85.0%   0.0%  15.0%   -0.0651   0.3543  2.7115   7811    1.7
   95   90.0%   0.0%  10.0%   -0.0641   0.3525  2.6737   7726    1.8
   96   95.0%   0.0%   5.0%   -0.0652   0.3598  2.6424   7363    1.8
   97   85.0%   0.0%  15.0%   -0.0671   0.3719  2.6202   7293    1.7
   98   90.0%   0.0%  10.0%   -0.0532   0.4030  2.6103   7139    1.4
   99   95.0%   0.0%   5.0%   -0.0652   0.3796  2.6163   7417    1.6
  100   88.0%   0.0%  12.0%   -0.0632   0.3599  2.6097   7526    1.6
  101   90.0%   0.0%  10.0%   -0.0636   0.3540  2.6170   7753    1.6
  102   85.0%   0.0%  15.0%   -0.0621   0.3618  2.5972   7593    1.6
  103   95.0%   0.0%   5.0%   -0.0665   0.3602  2.5810   7551    2.1
  104  100.0%   0.0%   0.0%   -0.0662   0.3686  2.5578   7207    1.6
  105   95.0%   0.0%   5.0%   -0.0668   0.3934  2.5454   7173    1.6
  106   90.0%   0.0%  10.0%   -0.0672   0.3522  2.5242   7375    1.6
  107  100.0%   0.0%   0.0%   -0.0599   0.3652  2.5063   7028    1.4
  108   85.0%   0.0%  15.0%   -0.0641   0.3792  2.4993   7507    1.6
  109  100.0%   0.0%   0.0%   -0.0625   0.3894  2.4953   7105    1.4
  110   93.5%   0.0%   6.5%   -0.0612   0.3815  2.4750   7145    1.7
  111   95.0%   0.0%   5.0%   -0.0639   0.3771  2.4894   7056    1.7
  112   95.0%   0.0%   5.0%   -0.0598   0.3564  2.4567   7083    1.5
  113  100.0%   0.0%   0.0%   -0.0665   0.3589  2.4626   7485    1.6
  114  100.0%   0.0%   0.0%   -0.0670   0.3641  2.4417   7517    1.7
  115  100.0%   0.0%   0.0%   -0.0571   0.3911  2.4039   6861    1.4
  116   85.0%   0.0%  15.0%   -0.0614   0.3668  2.3720   6922    1.4
  117   90.0%   0.0%  10.0%   -0.0594   0.4022  2.3652   7053    1.5
  118   95.0%   0.0%   5.0%   -0.0641   0.3759  2.3549   6720    1.6
  119  100.0%   0.0%   0.0%   -0.0580   0.3795  2.3328   6843    1.6
  120   96.5%   0.0%   3.5%   -0.0601   0.3964  2.3558   7120    1.4
  121  100.0%   0.0%   0.0%   -0.0632   0.3939  2.3509   6797    1.4
  122  100.0%   0.0%   0.0%   -0.0628   0.4020  2.3507   6628    1.4
  123   95.0%   0.0%   5.0%   -0.0599   0.3872  2.3564   6961    1.4
  124   95.0%   0.0%   5.0%   -0.0558   0.3899  2.3307   7053    1.4
  125   90.0%   0.0%  10.0%   -0.0611   0.4094  2.3447   6785    1.6
  126   90.0%   0.0%  10.0%   -0.0674   0.3819  2.3478   6788    1.6
  127   80.0%   0.0%  20.0%   -0.0593   0.4089  2.3379   6872    1.6
  128  100.0%   0.0%   0.0%   -0.0581   0.3745  2.3515   6718    1.4
  129   95.0%   0.0%   5.0%   -0.0578   0.3847  2.3454   6874    1.4
  130   94.5%   0.0%   5.5%   -0.0576   0.3964  2.3425   6830    1.4
  131   95.0%   0.0%   5.0%   -0.0589   0.4130  2.3320   6795    1.4
  132  100.0%   0.0%   0.0%   -0.0657   0.3903  2.3320   6636    1.4
  133   95.0%   0.0%   5.0%   -0.0600   0.3688  2.3031   6947    1.6
  134  100.0%   0.0%   0.0%   -0.0583   0.3860  2.2930   7029    1.4
  135   95.0%   0.0%   5.0%   -0.0661   0.3765  2.3002   6576    1.4
  136   95.0%   0.0%   5.0%   -0.0573   0.3876  2.2997   6764    1.6
  137   95.0%   0.0%   5.0%   -0.0641   0.3990  2.3234   6887    1.4
  138  100.0%   0.0%   0.0%   -0.0650   0.3920  2.3016   6747    1.4
  139   90.0%   0.0%  10.0%   -0.0645   0.3897  2.3137   6721    1.4
  140   96.5%   0.0%   3.5%   -0.0668   0.4107  2.3005   6647    1.4
  141   85.0%   0.0%  15.0%   -0.0604   0.3964  2.3006   7126    1.6
  142  100.0%   0.0%   0.0%   -0.0633   0.3828  2.2708   6633    1.4
  143   80.0%   0.0%  20.0%   -0.0611   0.3766  2.2663   6764    1.4
  144   95.0%   0.0%   5.0%   -0.0623   0.3905  2.2670   6926    1.4
  145   95.0%   0.0%   5.0%   -0.0645   0.3884  2.2805   6878    1.6
  146  100.0%   0.0%   0.0%   -0.0664   0.3940  2.2682   6855    1.4
  147  100.0%   0.0%   0.0%   -0.0591   0.3964  2.2494   7010    1.4
  148   95.0%   0.0%   5.0%   -0.0616   0.3851  2.2361   7018    1.6
  149   85.0%   0.0%  15.0%   -0.0636   0.3830  2.2579   6788    1.7
  150   94.0%   0.0%   6.0%   -0.0663   0.3963  2.2414   7251    1.6
  151   90.0%   0.0%  10.0%   -0.0627   0.4100  2.2205   6641    1.4
  152   95.0%   0.0%   5.0%   -0.0635   0.4142  2.2103   6337    1.4
  153  100.0%   0.0%   0.0%   -0.0622   0.3963  2.2168   6750    1.6
  154   95.0%   0.0%   5.0%   -0.0654   0.4105  2.2106   6572    1.4
  155   85.0%   0.0%  15.0%   -0.0635   0.3898  2.2128   6939    1.4
  156   90.0%   0.0%  10.0%   -0.0606   0.3986  2.2132   6565    1.6
  157   90.0%   0.0%  10.0%   -0.0637   0.4116  2.1989   6446    1.4
  158   95.0%   0.0%   5.0%   -0.0645   0.4129  2.2144   6505    1.4
  159  100.0%   0.0%   0.0%   -0.0608   0.4007  2.2349   6981    1.4
  160   92.5%   0.0%   7.5%   -0.0609   0.4036  2.2305   6933    1.4
  161   85.0%   0.0%  15.0%   -0.0610   0.3885  2.2450   6903    1.4
  162   95.0%   0.0%   5.0%   -0.0619   0.4107  2.2577   6851    1.6
  163  100.0%   0.0%   0.0%   -0.0597   0.4035  2.2218   6881    1.4
  164   95.0%   0.0%   5.0%   -0.0638   0.4051  2.2515   6683    1.6
  165   85.0%   0.0%  15.0%   -0.0633   0.4243  2.2272   6428    1.4
  166   90.0%   0.0%  10.0%   -0.0641   0.4049  2.2202   6625    1.4
  167   95.0%   0.0%   5.0%   -0.0627   0.4106  2.2205   6683    1.4
  168   95.0%   0.0%   5.0%   -0.0669   0.4181  2.1973   6499    1.4
  169   95.0%   0.0%   5.0%   -0.0657   0.3907  2.1939   6652    1.4
  170   93.5%   0.0%   6.5%   -0.0638   0.4010  2.1516   6494    1.4
  171   95.0%   0.0%   5.0%   -0.0646   0.4144  2.1597   6428    1.6
  172   90.0%   0.0%  10.0%   -0.0628   0.3876  2.1656   6837    1.7
  173   95.0%   0.0%   5.0%   -0.0630   0.4261  2.1594   6304    1.4
  174   90.0%   0.0%  10.0%   -0.0583   0.4071  2.1654   6497    1.4
  175   85.0%   0.0%  15.0%   -0.0647   0.4002  2.1947   6668    1.4
  176   90.0%   0.0%  10.0%   -0.0615   0.4310  2.1817   6797    1.4
  177   90.0%   0.0%  10.0%   -0.0633   0.4186  2.1635   6456    1.4
  178   90.0%   0.0%  10.0%   -0.0621   0.4102  2.1217   6633    1.4
  179   95.0%   0.0%   5.0%   -0.0634   0.3905  2.1734   6959    1.5
  180   95.0%   0.0%   5.0%   -0.0631   0.4125  2.1940   6419    1.8
  181  100.0%   0.0%   0.0%   -0.0655   0.4226  2.1834   6472    1.4
  182   90.0%   0.0%  10.0%   -0.0673   0.4338  2.1737   6613    1.4
  183   90.0%   0.0%  10.0%   -0.0668   0.4012  2.1534   6660    1.4
  184   90.0%   0.0%  10.0%   -0.0651   0.4353  2.1588   6594    1.4
  185   95.0%   0.0%   5.0%   -0.0664   0.4026  2.1684   6513    1.4
  186   90.0%   0.0%  10.0%   -0.0649   0.4108  2.1445   6314    1.4
  187   90.0%   0.0%  10.0%   -0.0620   0.3984  2.1741   6716    1.6
  188   90.0%   0.0%  10.0%   -0.0618   0.4239  2.1500   6711    1.7
  189  100.0%   0.0%   0.0%   -0.0631   0.4118  2.1302   6608    1.4
  190   94.0%   0.0%   6.0%   -0.0654   0.3930  2.1563   6823    1.4
  191   90.0%   0.0%  10.0%   -0.0637   0.4090  2.1440   6528    1.4
  192   95.0%   0.0%   5.0%   -0.0639   0.4108  2.1571   6573    1.4
  193  100.0%   0.0%   0.0%   -0.0668   0.4209  2.1260   6536    1.4
  194   95.0%   0.0%   5.0%   -0.0634   0.4243  2.1484   6511    1.4
  195   90.0%   0.0%  10.0%   -0.0616   0.4185  2.1217   6618    1.6
  196   95.0%   0.0%   5.0%   -0.0627   0.4141  2.1375   6589    1.4
  197   95.0%   0.0%   5.0%   -0.0624   0.4360  2.1243   6294    1.6
  198   95.0%   0.0%   5.0%   -0.0610   0.4298  2.1170   6554    1.4
  199   95.0%   0.0%   5.0%   -0.0640   0.4178  2.0649   6440    1.4
  200   95.0%   0.0%   5.0%   -0.0686   0.4185  2.0915   6469    1.4
  201   90.0%   0.0%  10.0%   -0.0629   0.4264  2.1012   6429    1.4
  202   90.0%   0.0%  10.0%   -0.0625   0.4254  2.0963   6456    1.4
  203  100.0%   0.0%   0.0%   -0.0655   0.4113  2.1397   6654    1.6
  204   90.0%   0.0%  10.0%   -0.0664   0.4020  2.1483   6654    1.4
  205   90.0%   0.0%  10.0%   -0.0633   0.4015  2.1508   6611    1.4
  206   90.0%   0.0%  10.0%   -0.0596   0.4311  2.1070   6368    1.6
  207   95.0%   0.0%   5.0%   -0.0664   0.4308  2.1206   6207    1.4
  208   95.0%   0.0%   5.0%   -0.0577   0.4513  2.1118   6422    1.4
  209  100.0%   0.0%   0.0%   -0.0677   0.4079  2.1422   6341    1.4
  210   94.5%   0.0%   5.5%   -0.0656   0.4058  2.1038   6503    1.4
  211  100.0%   0.0%   0.0%   -0.0646   0.4158  2.1466   6234    1.6
  212   95.0%   0.0%   5.0%   -0.0669   0.4192  2.1335   6508    1.4
  213   95.0%   0.0%   5.0%   -0.0659   0.4055  2.1335   6373    1.4
  214  100.0%   0.0%   0.0%   -0.0626   0.4128  2.1464   6559    1.4
  215  100.0%   0.0%   0.0%   -0.0640   0.4400  2.1379   6333    1.6
  216  100.0%   0.0%   0.0%   -0.0646   0.4295  2.1701   6463    1.4
  217   80.0%   0.0%  20.0%   -0.0611   0.4048  2.1085   6726    1.4
  218   95.0%   0.0%   5.0%   -0.0612   0.3878  2.1297   7001    1.4
  219   95.0%   0.0%   5.0%   -0.0619   0.3924  2.1353   7028    1.6
  220   96.5%   0.0%   3.5%   -0.0632   0.3960  2.1103   6782    1.4
  221   90.0%   0.0%  10.0%   -0.0625   0.4175  2.1132   6866    1.4
  222   85.0%   0.0%  15.0%   -0.0617   0.4135  2.1155   6771    1.4
  223   90.0%   0.0%  10.0%   -0.0612   0.4199  2.1252   6895    1.4
  224   85.0%   0.0%  15.0%   -0.0676   0.4251  2.1530   6352    1.6
  225   90.0%   0.0%  10.0%   -0.0641   0.4134  2.1475   6835    1.4
  226  100.0%   0.0%   0.0%   -0.0625   0.4122  2.1996   6614    1.5
  227  100.0%   0.0%   0.0%   -0.0634   0.4174  2.1780   6392    1.6
  228   90.0%   0.0%  10.0%   -0.0618   0.4064  2.2003   6770    1.4
  229   95.0%   0.0%   5.0%   -0.0668   0.4183  2.2059   6823    1.4
  230   93.0%   0.0%   7.0%   -0.0603   0.4049  2.1683   6786    1.4
  231  100.0%   0.0%   0.0%   -0.0662   0.3984  2.1557   6588    1.4
