  Upd     Win   Draw   Loss    π-loss   V-loss       H    Buf      s
  338   95.0%   0.0%   5.0%   -0.0638   0.4000  1.7245   6888    1.6
  339  100.0%   0.0%   0.0%   -0.0599   0.4085  1.7222   6997    1.4
  340   94.5%   0.0%   5.5%   -0.0632   0.3875  1.7100   6762    1.4
  341  100.0%   0.0%   0.0%   -0.0601   0.4089  1.7062   6823    1.4
  342  100.0%   0.0%   0.0%   -0.0620   0.4209  1.6898   6903    1.4
  343   90.0%   0.0%  10.0%   -0.0642   0.3976  1.6963   6872    1.4
  344   90.0%   0.0%  10.0%   -0.0665   0.3976  1.6935   6427    1.5
  345  100.0%   0.0%   0.0%   -0.0597   0.4063  1.7068   6853    1.6
  346   95.0%   0.0%   5.0%   -0.0637   0.4065  1.6812   6821    1.6
  347  100.0%   0.0%   0.0%   -0.0579   0.4081  1.6578   7076    1.4
  348   95.0%   0.0%   5.0%   -0.0657   0.3856  1.6786   7108    1.4
  349   95.0%   0.0%   5.0%   -0.0594   0.4061  1.6834   7127    1.4
  350   91.0%   0.0%   9.0%   -0.0666   0.3769  1.6706   7280    1.6
  351   95.0%   0.0%   5.0%   -0.0692   0.3781  1.6849   7292    1.6
  352   95.0%   0.0%   5.0%   -0.0678   0.3888  1.6961   7327    1.8
  353   95.0%   0.0%   5.0%   -0.0624   0.3852  1.6774   7415    1.6
  354   95.0%   0.0%   5.0%   -0.0682   0.3845  1.6663   7492    1.8
  355   95.0%   0.0%   5.0%   -0.0624   0.3933  1.6611   7135    1.4
  356   95.0%   0.0%   5.0%   -0.0679   0.3841  1.6761   7556    1.6
  357  100.0%   0.0%   0.0%   -0.0682   0.4073  1.6874   7273    1.6
  358  100.0%   0.0%   0.0%   -0.0654   0.4075  1.7064   7051    1.4
  359   95.0%   0.0%   5.0%   -0.0688   0.3863  1.7330   7481    1.9
  360   94.0%   0.0%   6.0%   -0.0698   0.3817  1.7154   7210    1.7
  361   95.0%   0.0%   5.0%   -0.0647   0.3698  1.7366   7606    1.7
  362  100.0%   0.0%   0.0%   -0.0687   0.3950  1.7315   7214    1.6
  363   95.0%   0.0%   5.0%   -0.0692   0.3736  1.7451   7460    1.6
  364  100.0%   0.0%   0.0%   -0.0683   0.3812  1.7288   7251    1.6
  365   90.0%   0.0%  10.0%   -0.0598   0.4086  1.7534   7145    1.4
  366   95.0%   0.0%   5.0%   -0.0689   0.3896  1.7493   7345    1.8
  367   90.0%   0.0%  10.0%   -0.0616   0.3990  1.7349   6888    1.4
  368   90.0%   0.0%  10.0%   -0.0625   0.3772  1.7189   7036    1.4
  369   95.0%   0.0%   5.0%   -0.0643   0.4008  1.7145   7003    1.4
  370   97.0%   0.0%   3.0%   -0.0705   0.3922  1.7397   7172    1.7
  371   95.0%   0.0%   5.0%   -0.0646   0.4163  1.7281   7051    1.4
  372   90.0%   0.0%  10.0%   -0.0675   0.3822  1.6999   7176    1.6
  373   95.0%   0.0%   5.0%   -0.0672   0.4022  1.7125   7241    1.6
  374  100.0%   0.0%   0.0%   -0.0648   0.3791  1.7155   6894    1.7
  375   95.0%   0.0%   5.0%   -0.0627   0.4352  1.7056   6755    1.4
  376   95.0%   0.0%   5.0%   -0.0645   0.4216  1.7053   6805    1.4
  377  100.0%   0.0%   0.0%   -0.0670   0.4062  1.6905   6485    1.4
  378   90.0%   0.0%  10.0%   -0.0622   0.4174  1.6782   6602    1.6
  379   95.0%   0.0%   5.0%   -0.0617   0.4200  1.7066   6661    1.4
  380   95.0%   0.0%   5.0%   -0.0653   0.4258  1.6721   6355    1.4
  381   95.0%   0.0%   5.0%   -0.0654   0.4305  1.6693   6435    1.4
  382   95.0%   0.0%   5.0%   -0.0659   0.4111  1.6475   6509    1.6
  383   95.0%   0.0%   5.0%   -0.0650   0.4332  1.6508   6607    1.4
  384  100.0%   0.0%   0.0%   -0.0637   0.4351  1.6335   6646    1.4
  385  100.0%   0.0%   0.0%   -0.0604   0.4166  1.6235   6729    1.4
  386   90.0%   0.0%  10.0%   -0.0695   0.4164  1.6287   6742    1.4
  387  100.0%   0.0%   0.0%   -0.0577   0.4318  1.6208   6609    1.6
  388  100.0%   0.0%   0.0%   -0.0665   0.4208  1.6329   6455    1.4
  389  100.0%   0.0%   0.0%   -0.0642   0.4254  1.6182   6682    1.5
  390   95.5%   0.0%   4.5%   -0.0565   0.4156  1.6164   6849    1.7
  391   95.0%   0.0%   5.0%   -0.0646   0.4238  1.6467   6800    1.4
  392   95.0%   0.0%   5.0%   -0.0625   0.4212  1.6517   6518    1.4
  393   90.0%   0.0%  10.0%   -0.0600   0.4109  1.6510   6652    1.4
  394   90.0%   0.0%  10.0%   -0.0591   0.4332  1.6319   6945    1.4
  395   90.0%   0.0%  10.0%   -0.0617   0.4062  1.6172   6993    1.4
  396   95.0%   0.0%   5.0%   -0.0619   0.4064  1.6182   6869    1.6
  397   90.0%   0.0%  10.0%   -0.0603   0.4141  1.6353   6855    1.6
  398   95.0%   0.0%   5.0%   -0.0604   0.4184  1.5917   6712    1.6
  399   95.0%   0.0%   5.0%   -0.0633   0.4226  1.6210   6349    1.4
  400   94.5%   0.0%   5.5%   -0.0556   0.4112  1.6288   6878    1.4
  401   95.0%   0.0%   5.0%   -0.0622   0.4256  1.6169   6866    1.4
  402   95.0%   0.0%   5.0%   -0.0631   0.4009  1.6129   6867    1.4
  403  100.0%   0.0%   0.0%   -0.0620   0.3972  1.6194   7097    1.4
  404   90.0%   0.0%  10.0%   -0.0590   0.4096  1.5917   6870    1.4
  405  100.0%   0.0%   0.0%   -0.0604   0.4226  1.5946   6880    1.8
  406  100.0%   0.0%   0.0%   -0.0617   0.4198  1.5700   6600    1.4
  407   95.0%   0.0%   5.0%   -0.0603   0.4281  1.5757   6885    1.4
  408   95.0%   0.0%   5.0%   -0.0622   0.4168  1.6048   6510    1.4
  409   95.0%   0.0%   5.0%   -0.0624   0.4101  1.5853   6886    1.4
  410   96.5%   0.0%   3.5%   -0.0639   0.4145  1.6035   6558    1.4
  411  100.0%   0.0%   0.0%   -0.0627   0.4225  1.5993   6839    1.4
  412   85.0%   0.0%  15.0%   -0.0584   0.4408  1.5916   6820    1.4
  413  100.0%   0.0%   0.0%   -0.0632   0.4207  1.6255   6829    1.8
  414   95.0%   0.0%   5.0%   -0.0599   0.3977  1.6331   6984    1.4
  415   95.0%   0.0%   5.0%   -0.0642   0.4126  1.6234   6945    1.4
  416   90.0%   0.0%  10.0%   -0.0644   0.4195  1.6534   6554    1.4
  417  100.0%   0.0%   0.0%   -0.0668   0.4267  1.6258   6514    1.4
  418  100.0%   0.0%   0.0%   -0.0615   0.3997  1.6076   6931    1.4
  419   95.0%   0.0%   5.0%   -0.0593   0.3977  1.6054   6987    1.4
  420   94.5%   0.0%   5.5%   -0.0591   0.4199  1.5932   6801    1.4
  421   95.0%   0.0%   5.0%   -0.0638   0.4236  1.5858   6771    1.6
  422   90.0%   0.0%  10.0%   -0.0604   0.4004  1.5800   6991    1.6
  423  100.0%   0.0%   0.0%   -0.0545   0.4070  1.5548   7037    1.4
  424   85.0%   0.0%  15.0%   -0.0567   0.4105  1.5802   6877    1.4
  425  100.0%   0.0%   0.0%   -0.0602   0.4092  1.5981   6899    1.4
  426  100.0%   0.0%   0.0%   -0.0584   0.3912  1.5870   6814    1.4
  427  100.0%   0.0%   0.0%   -0.0573   0.3930  1.6154   6782    1.4
  428   95.0%   0.0%   5.0%   -0.0598   0.4276  1.6021   6805    1.4
  429   95.0%   0.0%   5.0%   -0.0605   0.4128  1.6066   6864    1.6
  430   96.0%   0.0%   4.0%   -0.0610   0.4165  1.5999   6529    1.4
  431  100.0%   0.0%   0.0%   -0.0597   0.4132  1.5762   6758    1.6
  432   95.0%   0.0%   5.0%   -0.0584   0.4090  1.5559   6862    1.4
  433   95.0%   0.0%   5.0%   -0.0546   0.4022  1.5594   6919    1.4
  434   95.0%   0.0%   5.0%   -0.0561   0.3915  1.5380   6857    1.4
  435   95.0%   0.0%   5.0%   -0.0532   0.3977  1.5199   6866    1.4
  436  100.0%   0.0%   0.0%   -0.0596   0.3956  1.5546   7250    1.6
  437   95.0%   0.0%   5.0%   -0.0587   0.4010  1.5490   6827    1.6
  438   90.0%   0.0%  10.0%   -0.0571   0.3988  1.5653   7167    1.4
  439   95.0%   0.0%   5.0%   -0.0586   0.4129  1.5734   7048    1.6
  440   93.5%   0.0%   6.5%   -0.0590   0.4024  1.5950   7122    1.4
  441   90.0%   0.0%  10.0%   -0.0617   0.3937  1.5845   7389    1.6
  442  100.0%   0.0%   0.0%   -0.0625   0.4018  1.5831   7081    1.4
  443   90.0%   0.0%  10.0%   -0.0642   0.4067  1.5789   7428    1.6
  444   90.0%   0.0%  10.0%   -0.0630   0.3782  1.6087   7615    1.8
  445   90.0%   0.0%  10.0%   -0.0658   0.3967  1.6039   7238    1.7
  446  100.0%   0.0%   0.0%   -0.0572   0.3891  1.5863   7586    1.6
  447   95.0%   0.0%   5.0%   -0.0669   0.3927  1.5902   7342    1.8
  448  100.0%   0.0%   0.0%   -0.0686   0.3842  1.5777   7282    1.6
  449   90.0%   0.0%  10.0%   -0.0619   0.3835  1.5513   7191    1.6
  450   94.5%   0.0%   5.5%   -0.0657   0.3772  1.5575   7170    1.6
  451   90.0%   0.0%  10.0%   -0.0572   0.4003  1.5632   7161    1.7
  452   90.0%   0.0%  10.0%   -0.0631   0.4274  1.5730   6858    1.6
  453  100.0%   0.0%   0.0%   -0.0652   0.3831  1.5579   7333    1.6
  454   95.0%   0.0%   5.0%   -0.0627   0.4100  1.5704   7014    1.4
  455   95.0%   0.0%   5.0%   -0.0612   0.3762  1.5642   7248    1.8
  456   95.0%   0.0%   5.0%   -0.0598   0.4111  1.5577   7073    1.4
  457  100.0%   0.0%   0.0%   -0.0637   0.3645  1.5394   7290    1.6
  458   85.0%   0.0%  15.0%   -0.0594   0.4197  1.5872   6978    1.4
  459   90.0%   0.0%  10.0%   -0.0663   0.3940  1.5847   7205    1.8
  460   91.0%   0.0%   9.0%   -0.0671   0.4062  1.5956   7235    1.6
  461  100.0%   0.0%   0.0%   -0.0605   0.4124  1.5954   7116    1.4
  462   90.0%   0.0%  10.0%   -0.0590   0.4027  1.6004   7014    1.4
  463   95.0%   0.0%   5.0%   -0.0597   0.4105  1.5826   6912    1.6
  464  100.0%   0.0%   0.0%   -0.0586   0.3994  1.5778   6931    1.4
  465   95.0%   0.0%   5.0%   -0.0622   0.3715  1.5989   7521    1.6
  466   95.0%   0.0%   5.0%   -0.0603   0.4178  1.6178   7154    1.7
  467   85.0%   0.0%  15.0%   -0.0588   0.4176  1.5897   7012    1.5
  468   85.0%   0.0%  15.0%   -0.0663   0.3904  1.5742   7262    1.6
  469   85.0%   0.0%  15.0%   -0.0644   0.4058  1.5660   6902    1.4
  470   96.0%   0.0%   4.0%   -0.0583   0.4029  1.5847   7043    1.4
  471   90.0%   0.0%  10.0%   -0.0611   0.3729  1.5652   7117    1.6
  472   70.0%   0.0%  30.0%   -0.0645   0.3884  1.5730   7173    1.6
  473   85.0%   0.0%  15.0%   -0.0632   0.3927  1.5547   6902    1.4
  474  100.0%   0.0%   0.0%   -0.0599   0.4144  1.5367   7011    1.6
  475   95.0%   0.0%   5.0%   -0.0586   0.4110  1.5329   7060    1.4
  476   90.0%   0.0%  10.0%   -0.0633   0.3987  1.5484   7514    1.6
  477   90.0%   0.0%  10.0%   -0.0624   0.3863  1.5148   7384    1.6
  478  100.0%   0.0%   0.0%   -0.0648   0.3841  1.5370   7208    1.6
  479   95.0%   0.0%   5.0%   -0.0671   0.4017  1.5512   7291    1.8
  480   95.5%   0.0%   4.5%   -0.0670   0.3799  1.5434   7288    1.6
  481   90.0%   0.0%  10.0%   -0.0644   0.4304  1.5493   7179    1.8
  482  100.0%   0.0%   0.0%   -0.0598   0.4613  1.5635   6857    1.4
  483   90.0%   0.0%  10.0%   -0.0612   0.3985  1.5484   7100    1.4
  484   95.0%   0.0%   5.0%   -0.0623   0.3911  1.5452   7148    1.4
  485   90.0%   0.0%  10.0%   -0.0591   0.4158  1.5328   6921    1.4
  486  100.0%   0.0%   0.0%   -0.0663   0.3772  1.5530   7261    1.6
  487   95.0%   0.0%   5.0%   -0.0543   0.4066  1.5446   7085    1.6
  488  100.0%   0.0%   0.0%   -0.0592   0.4074  1.5552   7074    1.6
  489   90.0%   0.0%  10.0%   -0.0648   0.3853  1.5021   7383    1.9
  490   97.0%   0.0%   3.0%   -0.0578   0.4145  1.5309   7151    1.4
  491   90.0%   0.0%  10.0%   -0.0643   0.4084  1.4899   7035    1.4
  492   90.0%   0.0%  10.0%   -0.0576   0.4131  1.5027   7123    1.4
  493  100.0%   0.0%   0.0%   -0.0635   0.4011  1.5172   7226    1.6
  494   95.0%   0.0%   5.0%   -0.0605   0.3989  1.5347   7025    1.4
  495  100.0%   0.0%   0.0%   -0.0607   0.4051  1.5473   7018    1.6
  496   95.0%   0.0%   5.0%   -0.0581   0.4199  1.5430   6778    1.6
  497  100.0%   0.0%   0.0%   -0.0625   0.4237  1.5385   6979    1.4
  498   95.0%   0.0%   5.0%   -0.0630   0.4235  1.5389   7060    1.4
  499   95.0%   0.0%   5.0%   -0.0656   0.4261  1.5562   6929    1.4
  500   96.0%   0.0%   4.0%   -0.0652   0.4063  1.5615   6559    1.4
