update,win_rate,draw_rate,loss_rate,policy_loss,value_loss,entropy,buffer_size,seconds
1,0.75,0.05,0.2,0.0600539784963158,0.843235969543457,3.299587433988398,11325,72.2558579579927
2,0.5,0.0,0.5,0.03500008398920975,0.8356891924684698,3.3001445531845093,12240,76.88884379097726
3,0.3,0.0,0.7,-0.001996087757023898,0.7926049395041033,3.299808393825184,12178,75.5479177919915
4,0.4,0.0,0.6,-0.002291410801593553,0.8103519894860007,3.3089533935893667,11312,67.05432195798494
5,0.75,0.05,0.2,-0.0018113709943877025,0.7442604980685494,3.303853392601013,11702,72.00767241697758
6,0.45,0.05,0.5,-0.0028612226544117384,0.7862019593065436,3.2972422404722734,11955,78.83288645802531
7,0.65,0.0,0.35,-0.004340795016932217,0.7740782526406375,3.303769111633301,11464,73.0657996670343
8,0.6,0.0,0.4,-0.00587386405095458,0.7605827152729034,3.2897870648990977,12145,74.68862562498543
