hyperparameter,value
GAMMA,0.99
CLIP_EPS,0.2
LR,0.0001
VALUE_COEF,2
ENTROPY_COEF,0.01
N_EPOCHS,5
BATCH_SIZE,1024
GRAD_CLIP,1.0
EPISODES_PER_UPDATE,256
N_UPDATES,500
EVAL_INTERVAL,10
N_EVAL_GAMES,200

update,win_rate,draw_rate,loss_rate,policy_loss,value_loss,entropy,buffer_size,seconds
1,0.6,0.0,0.4,-0.008107728451829065,0.26970803331245075,3.3016341642899945,11342,6.9800782080274075
2,0.45,0.0,0.55,-0.032121580634266136,0.27177341043949127,3.317728319168091,10809,5.376771208946593
3,0.7,0.0,0.3,-0.04173578636890108,0.25293497063896875,3.295245872844349,11349,5.362336333957501
